Sl. No.,States / Union Territories,Annual Replenishable Ground Water Resource,Column_3,Column_4,Column_5,Column_6,Natural Discharge during non- monsoon season,Net Annual Ground Water Availability,Annual Ground Water Draft,Column_10,Column_11,Projected demand for Domestic and Industrial uses upto 2025,Ground Water Availability for future irrigation,Stage of Ground Water Development (%),Sl. No._1,District,Natural,Net Ground Water Availability,Projected demand for Domestic and Industrial uses upto 2025_1,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)_1,Provision for Natural Discharges,Net Annual Ground Water Availability_1,Union Territory,Islands,Region,States / Union Territories_1,Total No. of Assessed Units,Safe,Semi-critical,Critical,Column_8,Over-exploited,Saline,Column_12,Sl. No. DISTRICT SEMI-CRITICAL CRITICAL OVER EXPLOITED Saline,No. of Assessed Blocks,Semi Critical,Sl.no. District Semi-critical Critical Over-exploited Saline,Sl. No. District Semi-critical Critical Over-exploited Saline,No of Assessed Blocks,Over Exploited,No. of Assessed Tehsils,Sl. NO.District Semi Critical Critical Over-Exploited Saline,No. of Assessed Units,Sl. No. District Semi critical Critical Over exploited Saline,No. of block Assessed,Semi critical,Over-exploted,Sl. No. DISTRICT Semi-critical Critical Over-exploited Saline,No. of Assessed VALLEY,Sl No Districts Semi-critical Critical Over-Exploited Saline,Sr.No. District Semi-Critical Critical Over-exploited Saline,Sl.No. District: Semi-Critical Critical Over-Exploited Saline,Sl. No. District Semi-Critical Critical Over-Exploited Saline,Sl.No District Semi Critical Critical Over Exploited Saline,CATEGORISATION OF BLOCKS IN TAMIL NADU,Column_1,Column_2,S. No. DISTRICT NAME SEMI-CRITICAL CRITICAL OVER-EXPLOITED SALINE,CATEGORIZTION OF BLOCKS IN UTTAR PRADESH,S. No. District Semi-critical Critical Over-Exploited Saline,Over-Exploited,Sl. No. Union Territory Semi-critical Critical Over-exploited Saline,S. No. Islands Semi-Critical Critical Over-exploited Saline,No. of Assessed Islands,No. of Assessed Regions,Parameter,Normal,Assessment year,Total (Command/Non-command),Soil Type,:,Sandy to sandy loams Soil,Type of Structure,Monsoon Season,Non-Monsoon Season,Data Source,Name of canal segment,Lined or unlined,Length of canal (m),Wetted perimeter (m),Wetted area (m.sqm),Seepage factor (ham per day per million square meters of wetted area),No of running days,Column_7,Seepage(ham),Column_9,Data Source_1,Name of (canal) Outlet,Irrigation Water Applied (ham),Return Flow Factor (Command area),Recharg e from Surface Water Irrigatio n (ham),Irrigatio n Water Applied (ham),Recharge from Surface Water Irrigatio n (ham),Irrigation Water Applied (GW Draft) (ham),Recharge from Ground Water Irrigation (ham),Name of Tanks/ Ponds,Average Water Spread Area (ha),No. of days water is available,Recharge from Tanks and Ponds (0.00144 *2*3),Column_0,Agriculture Deptt.,Sr. No,Name of the Structure,No. of structures,Gross Storage [ha.m],Recharge ( ham ),Normal Rainfall (m),Rainfall Infiltration Factor,Assessment Area (ha),Rainfall Recharge (ham) (1*2*3),Average pre- monsoon Depth to Water level (m bgl),Average post- monsoon Depth to Water level (m bgl),Water Level Fluctuation (m) (1-2),Rock Type,Specif ic Yield,Average Water Level Fluctuation (m),Change in Storage (ham),Ground Water Draft (ham),Ground Water Recharge (ham) (5+6),Recharge from Other Sources (ham),Rainfall Recharg e (ham) (8-7),Assessment Year,Rainfall Recharge,Rainfall for the corresponding Year,Recharge corresponding to Normal Rainfall (Normal Monsoon Rainfall *[2]/[3]),Projected population density at year 2025,Domestic & Industrial Water Supply Requirement (lpcd),Extend of Dependenc e on Ground Water,Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (mm) [(22/60000)*(1)* (2)*(3)],Area,Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (ham) [(5)*(4)/1000],Net Annual Ground Water Availability (ham),Annual Ground Water Draft for Irrigation use (ham),Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (ham),Net Ground Water Availability for future Irrigation (ham) [(1)-(2)-(3)],Annual Replenishable Ground Water Resources,Natural Discharg e during monsoon season,Net Annual Ground Water Availabili ty,Annual Ground Water Draft_1,Net Ground Water Availability for future Irrigation (ham),Stage of Ground Water Development (%)_2
,,14101,0,0,0,14101,,,9445,2408,11854,,,,11,Churu,705,13395,4398,3096,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21700,1186,343,3145,26373,,,37886,2487,40374,,,,12,Dausa,2620,23753,2487,0,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21430,1383,0,5499,28312,,,30706,2526,33233,,,,13,Dholpur,2382,25930,2576,1596,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7986,1211,0,4906,14103,,,8396,882,9278,,,,14,Dungarpur,1291,12812,4416,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2711,14301,669,23118,40798,,,15617,545,16163,,,,15,Ganganagar,4080,36719,1033,20068,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2954,6950,316,12429,22649,,,15716,705,16421,,,,16,Hanumangarh,2265,20384,1107,3561,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58832,2331,3333,6742,71238,,,108111,25686,133797,,,,17,Jaipur,6685,64552,25733,979,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6721,16,0,55,6792,,,9356,2893,12249,,,,18,Jaisalmer,633,6159,2961,1874,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40787,1114,0,4383,46285,,,77952,4090,82042,,,,19,Jalore,4086,42200,4191,969,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36546,1968,0,5657,44171,,,47601,1583,49183,,,,20,Jhalawar,2948,41223,1940,479,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21173,213,3498,1466,26350,,,45604,8571,54175,,,,21,Jhunjhunu,2350,24000,8604,330,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38126,656,2139,2031,42952,,,73164,10415,83579,,,,22,Jodhpur,4239,38713,11303,4761,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31897,1162,0,4254,37313,,,41177,5064,46241,,,,23,Karauli,3617,33697,4984,1239,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31458,3089,0,22142,56689,,,42097,4891,46988,,,,24,Kota,5359,51330,6251,7776,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51178,517,4161,2219,58075,,,81186,17893,99079,,,,25,Nagaur,5649,52426,18953,4120,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27262,848,0,4749,32859,,,31436,2747,34184,,,,26,Pali,3229,29630,3048,959,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11064,926,0,3532,15521,,,16884,597,17481,,,,27,Pratapgarh,1436,14086,982,399,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8495,786,0,2592,11873,,,10270,1525,11795,,,,28,Rajsamand,1187,10686,1525,63,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33916,1499,0,4222,39636,,,37408,7947,45355,,,,29,Sawai Madhopur,3594,36042,8375,209,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26968,294,4006,880,32148,,,37052,5842,42894,,,,30,Sikar,3037,29111,6238,972,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26211,878,0,3249,30338,,,29952,1108,31061,,,,31,Sirohi,2854,27485,1484,1126,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36225,2834,0,9294,48353,,,35745,7635,43380,,,,32,Tonk,4459,43894,9104,1841,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21242,1433,0,6010,28685,,,22931,3195,26125,,,,33,Udaipur,3394,25291,3946,450,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,878268,67607,27990,220280,1194144,,,1313318,170982,1484300,,,,State total (ham),None,111249,1082895,188532,91250,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8.78,0.68,0.28,2.20,11.94,,,13.13,1.71,14.84,,,,StateTotal (bcm),None,1.11,10.83,1.89,0.91,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Monsoon Season,None,Non Monsoon Season,None,Total,,,Irrigation,"Domestic &
Industrial
Water
Supply",Total,,,,None,None,Discharge,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Recharge
from Rainfall","Recharge
From Other
Sources","Recharge
from
Rainfall","Recharge
From Other
Sources",None,,,None,None,None,,,,None,None,"During Non
Monsoon
Period",None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,4,5,6,7,,,10,11,12,,,,1,2,8,9,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,-,-,-,-,,,27,62,89,,,,1,North,-,236,67,142,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,-,-,-,-,,,89,210,299,,,,2,South,-,1336,247,1001,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,-,-,-,-,,,77,400,477,,,,3,East,-,782,489,216,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,-,-,-,-,,,81,189,269,,,,4,West,-,2062,219,1763,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,,,274,860,1134,,,,State Total (ham),None,-,4416,1021,3121,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,,,0.003,0.009,0.011,,,,State Total (BCM),None,-,0.044,0.010,0.031,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Monsoon Season,None,Non Monsoon Season,None,Total,,,Irrigation,"Domestic &
Industrial
Water
Supply",Total,,,,None,None,Discharge,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Recharge
from Rainfall","Recharge
From Other
Sources","Recharge
from
Rainfall","Recharge
From Other
Sources",None,,,None,None,None,,,,None,None,"During Non
Monsoon
Period",None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,4,5,6,7,,,10,11,12,,,,1,2,8,9,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14374,15999,1851,2772,34996,,,13793,2359,16152,,,,1,Ariyalur,3500,31497,2506,15198,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1228,844,84,851,3007,,,,6125,6125,,,,2,Chennai,301,2707,6961,-4255,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22784,10007,5971,9995,48757,,,44920,5695,50615,,,,3,Coimbatore,4876,43881,5338,-6376,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55022,70431,7592,4409,137454,,,49902,56774,106676,,,,4,Cuddalore,13745,123708,57188,16619,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18693,15364,3936,3767,41760,,,47799,1931,49730,,,,5,Dharmapuri,4176,37584,2191,-12406,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23317,15306,6732,14261,59617,,,61267,2408,63675,,,,6,Dindigul,5962,53656,2745,-10356,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17229,47984,4619,7505,77336,,,58656,6512,65168,,,,7,Erode,7734,69603,6986,3961,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37896,62020,3830,13504,117250,,,63840,5579,69419,,,,8,Kanchipuram,11725,105525,8940,32746,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2533,18039,9783,3473,33829,,,4257,1486,5743,,,,9,Kanniyakumari,3383,30446,1623,24566,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13116,15136,4249,3414,35914,,,27922,1942,29864,,,,10,Karur,3591,32323,2207,2194,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19842,11431,5029,3135,39437,,,45189,1954,47144,,,,11,Krishnagiri,3944,35494,2782,-12478,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14420,45407,4475,8885,73186,,,36412,1615,38027,,,,12,Madurai,7319,65868,1836,27620,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8026,7311,1001,1347,17684,,,15168,1121,16288,,,,13,Nagapattinam,1768,15916,1274,-525,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14872,31112,3820,4832,54637,,,41563,2421,43984,,,,14,Namakkal,5464,49173,1915,5695,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10390,139,2583,104,13216,,,545,587,1131,,,,15,Nilgiri,1322,11894,625,10724,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8992,8970,2578,2530,23069,,,27053,1024,28076,,,,16,Perambalur,2307,20762,1118,-7408,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,78395,52619,13699,14296,159009,,,29139,2299,31438,,,,17,Pudukkottai,15901,143108,2427,111542,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26400,32551,8191,8712,75854,,,4856,3115,7970,,,,18,Ramanathapuram,7585,68268,3540,59872,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24115,19454,5155,9450,58174,,,80527,5105,85632,,,,19,Salem,5817,52356,2866,-31037,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26386,58885,6826,17446,109543,,,14120,1596,15716,,,,20,Sivagangai,10954,98589,1782,82687,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32512,40275,5469,9416,87673,,,79511,2421,81933,,,,21,Thanjavur,8767,78905,2752,-3358,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9217,14943,8315,7211,39686,,,28804,1973,30778,,,,22,Theni,3969,35718,2104,4809,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28054,48973,2042,1864,80933,,,28804,20485,49289,,,,23,Thiruvallur,8093,72840,21133,22902,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17598,29460,6071,7377,60507,,,19506,4030,23536,,,,24,Thoothukudi,6051,54456,4565,30385,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21648,63404,9167,4482,98702,,,48721,2941,51662,,,,25,Tirunelveli,9870,88832,3262,36849,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19141,14243,5060,10805,49250,,,52448,3801,56248,,,,26,Tiruppur,4925,44325,3676,-11799,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14476,12448,1977,4410,33311,,,20077,1343,21420,,,,27,Tiruvarur,3331,29980,1527,8376,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40015,66707,5000,9760,121482,,,87993,4444,92437,,,,28,Tirvannamalai,12148,109334,4972,16369,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22721,45849,5931,6121,80622,,,49777,7339,57115,,,,29,Trichy,8062,72560,2727,20056,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26695,29555,4974,4643,65867,,,53833,8311,62144,,,,30,Vellore,6587,59280,9304,-3857,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51439,100300,6558,8178,166475,,,148243,5691,153935,,,,31,Villupuram,16648,149828,6453,-4869,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
